072420.75   +420900.6  2MASX J07242070+4209004       2193308  108110  0.057               SB        (r,bl)        Sab    2  1.00  SB(r,bl)ab:
075424.88   +392217.5  CGCG 206-038                    22141    6542  0.020  (RL)         SA_B      (r,tb)        S0+   -1  0.75  (RL)SA_B(r,tb)0^+^
075432.28   +433830.6  2MASX J07543223+4338306       2225603    9216  0.104  (R1P)        SB        (l)           S0/a   0  1.00  (R1P)SB(l)0/a
075440.60   +342034.1  2MASX J07544061+3420340       2047680   26541  0.075  (RP)         S_AB      (l)           Sa     1  0.25  (RP)S_AB(l)a
075503.84   +340830.8  SDSS J075503.83+340830.7      2044521   27320  0.137               SA        (s)           Sbc    4  0.00  SA(s)bc pec
075525.30   +391110.1  MRK 0382                        22190   24520  0.034  (R12P)       SA_B      (r)           Sbc    4  0.75  (R12P)SA_B(r)bc
075540.17   +334221.7  2MASX J07554017+3342210       2037357   47686  0.046  (RP:)        SB        (_rs)         S0/a   0  1.00  (RP:)SB(_rs)0/a
075618.15   +494333.4  2MASX J07561815+4943335       3087375  107183  0.059               SA        (rl)          S0+   -1  0.00  SA(rl)0^+^
075634.42   +133829.7  2MASX J07563442+1338297       1436448  152621  0.085  (R2P)        SAB_a     (s)           Sa     1  0.50  (R2P)SAB_a(s)a
075634.82   +473349.8  2MASX J07563483+4733499       2300426  105634  0.069  (R1P)        SAB       (p,rs)        Sb     3  0.50  (R1P)SAB(p,rs)b: pec
075719.41   +391954.4  SDSS J075719.40+391954.3          ---   21884  0.096               SB        (r)           Sa     1  1.00  SB(r)a
075744.23   +400119.9  2MASX J07574426+4001193       2159372  190465  0.066               SA        (_rs)         Sab    2  0.00  SA(_rs)ab
075850.29   +093520.8  2MASX J07585028+0935208       1367235  166672  0.046  (R1R2P)      S_AB      (l)           Sa     1  0.25  (R1R2P)S_AB(l)a
075850.42   +364744.8  2MASX J07585044+3647442       2087136   26739  0.040  (R2P)        SA_B      (s)           S0/a   0  0.75  (R2P)SA_B(s)0/a
075926.73   +401554.1  2MASX J07592672+4015540       2163248   24528  ---    (R1P)        S_AB:     (l)           Sa     1  0.25  (R1P)S_AB:(l)a:
075937.15   +283218.8  2MASX J07593717+2832189       3398012   50635  0.079               SA        (r)           S0+   -1  0.00  SA(r)0^+^
075940.12   +152312.5  UGC 04145                       22404  149170  0.015  (RP)         SAB       (irpl)        Sab    2  0.50  (RP)SAB(irpl)ab
075953.69   +552229.5  CGCG 262-055                    22422  108568  0.036  (R1L)        S_AB_a    (rl)          S0/a   0  0.25  (R1L)S_AB_a(rl)0/a
075958.20   +284415.7  2MASX J07595817+2844155       1844455   50641  0.090  (R12P)       SA_B      (irpl)        Sb     3  0.75  (R12P)SA_B(irpl)b
080012.07   +552211.8  2MASX J08001204+5522122         22422  109600  0.035               SA        (r)           S0/a   0  0.00  SA(r)0/a
080019.96   +105321.4  2MASX J08001993+1053218       1385947  160037  0.042               SB        (r,bl)        S0+   -1  1.00  SB(r,bl)0^+^
080025.50   +475605.0  2MASX J08002552+4756045       2307215  105409  0.055  (R1P)        SAB       (r,bl)        Sa     1  0.50  (R1P)SAB(r,bl)a
080046.49   +471036.1  2MASX J08004645+4710365       3131441   11935  0.095  (RP)         SA        (_rs)         Sbc    4  0.00  (RP)SA(_rs)bc
080053.52   +344315.8  2MASX J08005351+3443161       2053493   48376  0.055  (R)          SA                      S0+   -1  0.00  (R)SA0^+^:
080107.94   +290853.1  2MASX J08010795+2908531       3398037  204163  0.073  (R2P)        SAB       (s)           S0/a   0  0.50  (R2P)SAB(s)0/a
080111.36   +485430.7  2MASX J08011138+4854306       2328548  105641  0.058  (R1P)        S_AB      (r)           S0+   -1  0.25  (R1P)S_AB(r)0^+^
080154.12   +093733.1  CGCG 059-019                    22526  161951  0.016  (RPL)        SB        (r,bl)        Sa     1  1.00  (RPL)SB(r,bl)a pec
080218.40   +242139.7  2MASX J08021844+2421399       1705577   72802  0.143  (RP)         S_AB      (s:)          Sab    2  0.25  (RP)S_AB(s:)ab:
080303.66   +363229.7  2MASX J08030365+3632300       2082490   26571  0.090  (R1P)        SAB_a     (l)           S0/a   0  0.50  (R1P)SAB_a(l)0/a
080308.74   +243923.1  CGCG 118-053                    22594  239038  0.042  (R2P)        SAB_a     (s)           S0/a   0  0.50  (R2P)SAB_a(s)0/a
080359.20   +234520.5  2MASX J08035923+2345201       3445790   77880  0.029               SA        (rl)          S0+   -1  0.00  SA(rl)0^+^
080359.45   +240232.7  2MASX J08035943+2402325       1698561   78464  0.059  (R1P)        SA_B_a    (r,bl)        Sab    2  0.75  (R1P)SA_B_a(r,bl)ab
080401.86   +254224.0  2MASX J08040186+2542235       1746611   73337  ---    (R)          SAB_a     (irpl)        Sab    2  0.50  (R)SAB_a(irpl)ab
080413.17   +552351.7  CGCG 262-067                    22657  109406  0.032  (R1P)        SB        (_rs,bl)      Sab    2  1.00  (R1P)SB(_rs,bl)ab
080423.14   +433457.3  CGCG 207-024                    22663    6944  0.041  (R1R2P)      SA        (irpl)        Sab    2  0.00  (R1R2P)SA(irpl)ab
080452.22   +254543.4  2MASX J08045220+2545438       1748799   73342  0.100  (R2P)        SAB       (s)           Sb     3  0.50  (R2P)SAB(s)b
080452.53   +423616.5  2MASX J08045248+4236161       2202284  190827  0.041  (L)          SA_B_a    (l)           S0o   -2  0.75  (L)SA_B_a(l)0^o
080455.56   +562845.1  CGCG 287-039                    22689  109621  0.029  (RP,R)       SA        (r)           Sb     3  0.00  (RP,R)SA(r)b
080505.37   +401028.4  CGCG 207-027                    22694   24315  0.050  (R2P)        SA_B_a    (l)           Sa     1  0.75  (R2P)SA_B_a(l)a
080514.10   +364942.9  2MASX J08051414+3649431       2087714   27345  0.084  (R2P)        SAB_a     (s)           Sab    2  0.50  (R2P)SAB_a(s)ab:
080526.35   +553533.4  2MASX J08052635+5535335       3726639  109408  ---    (RP)         SB        (s)           Scd    6  1.00  (RP)SB(s)cd:
080528.12   +355648.1  IC 2225                         22708   47717  0.033  (R)          SAB_a     (l)           S0/a   0  0.50  (R)SAB_a(l)0/a
080607.39   +524728.3  2MASX J08060745+5247279       2423798  107479  0.087  (R1)         SAB_a     (l)           S0+   -1  0.50  (R1)SAB_a(l)0^+^:
080643.26   +153815.2  2MASX J08064324+1538144       1489696  148058  0.105  (R2P)        S_AB      (l)           Sb     3  0.25  (R2P)S_AB(l)b
080644.21   +064720.4  2MASX J08064423+0647209       1307512  111429  0.054  (R)          SB_aa                   Sa     1  1.00  (R)SB_aa
080644.60   +090039.7  2MASX J08064458+0900399       1357927  186398  0.102  (R2P)        SAB       (l)           Sab    2  0.50  (R2P)SAB(l)ab
080703.06   +454035.0  KUG 0803+458A                     ---   11516  0.050               SAB       (_rs)         Sab    2  0.50  SAB(_rs)ab
080723.25   +053924.1  2MASX J08072323+0539236           ---   79409  0.115               SA        (_rs)         Sb     3  0.00  SA(_rs)b:
080730.85   +064513.9  2MASX J08073085+0645138           ---  111436  0.051  (RL)         SA        (l)           S0+   -1  0.00  (RL)SA(l)0^+^
080814.63   +162208.8  SDSS J080814.63+162208.8          ---  148141  0.101               SB        (r)           S0+   -1  1.00  SB(r)0^+^
080820.28   +390125.1  2MASX J08082031+3901253       2141849   26770  0.022  (R1)         SA        (r)           S0+   -1  0.00  (R1)SA(r)0^+^
080821.30   +071712.6  2MASX J08082130+0717129       1318135  111544  ---                 SA        (rl)          S0+   -1  0.00  SA(rl)0^+^:
080830.64   +191230.6  CGCG 088-041                    22849  120622  0.027  (R1L)        SAB       (_rs,bl)      Sa     1  0.50  (R1L)SAB(_rs,bl)a
080832.70   +463552.7  2MASX J08083264+4635530       3087567    8843  0.050  (R1P)        SAB_a     (l)           S0/a   0  0.50  (R1P)SAB_a(l)0/a
080852.36   +422812.3  2MASX J08085237+4228120       2199519   24546  0.097  (RPL)        SA        (r)           Sab    2  0.00  (RPL)SA(r)ab
080855.79   +445257.9  2MASX J08085570+4452580       2254156  191813  0.055               SA        (rs)          Sa     1  0.00  SA(rs)a: pec
080905.24   +552632.8  MCG +09-14-010                  22871  108010  0.031  (R1P)        S_AB_a    (irpl)        Sa     1  0.25  (R1P)S_AB_a(irpl)a
080905.65   +260839.0  2MASX J08090567+2608389       1764415   73090  0.079  (R2P)        SA        (rl)          Sb     3  0.00  (R2P)SA(rl)b
080929.53   +343540.9  2MASX J08092950+3435403       2051603   47810  0.055  (RP)         S_AB      (l)           Sa     1  0.25  (RP)S_AB(l)a
080931.35   +394806.7  2MASX J08093130+3948061       2155891   28036  0.064  (RP)         SAB_a     (l)           S0/a   0  0.50  (RP)SAB_a(l)0/a
081006.79   +051553.9  2MASX J08100677+0515533       1280679   79227  0.032  (RPL)        SA        (l)           S0/a   0  0.00  (RPL)SA(l)0/a
081041.18   +463848.1  2MASX J08104115+4638475       2284718   11522  0.050  (R1L)        S_AB_a    (rl)          S0+   -1  0.25  (R1L)S_AB_a(rl)0^+^
081050.19   +481732.4  MCG +08-15-045                  22942   11754  0.055  (R1P)        S_AB_a    (p,r)         Sb     3  0.25  (R1P)S_AB_a(p,r)b
081101.52   +260051.8  2MASX J08110150+2600520       1759207   72813  0.068  (RPL)        SAB       (irpl)        S0/a   0  0.50  (RPL)SAB(irpl)0/a
081108.27   +085105.1  2MASX J08110826+0851050       1354848  187779  0.040  (R1R2P)      SA_B      (s)           Sc     5  0.75  (R1R2P)SA_B(s)c
081110.95   +183403.1  2MASX J08111094+1834024       1563365  123780  0.062  (R1R2P)      SAB       (s)           Sa     1  0.50  (R1R2P)SAB(s)a [cd]
081113.13   +283908.5  2MASX J08111313+2839079       1841997   53338  0.076  (R1R2P)      SB        (rl,bl)       S0/a   0  1.00  (R1R2P)SB(rl,bl)0/a
081207.53   +524429.5  2MASX J08120753+5244299       3727662  107026  0.072  (R2P)        SAB_a     (l)           Sb     3  0.50  (R2P)SAB_a(l)b
081223.10   +465608.7  2MASX J08122314+4656092       2289638    7334  0.146  (R2P)        SAB       (s)           Sb     3  0.50  (R2P)SAB(s)b
081225.91   +342732.5  2MASX J08122587+3427321       3389456   45722  0.086  (R)          SB                      S0+   -1  1.00  (R)SB0^+^
081250.57   +575517.5  SBS 0808+580B                   23022  109630  0.027               SAB_a     (_rs)         Sa     1  0.50  SAB_a(_rs)a
081251.38   +461157.4  MCG +08-15-049                  23015    7174  0.054  (RL)         SA_B_a    (l)           S0/a   0  0.75  (RL)SA_B_a(l)0/a
081256.53   +313617.0  2MASX J08125650+3136165       1955220   50663  0.119  (RL)         SAB                     S0/a   0  0.50  (RL)SAB0/a:
081259.27   +253703.5  2MASX J08125923+2537033       3446588   78481  0.080  (R2P)        SA        (irpl)        Sa     1  0.00  (R2P)SA(irpl)a:
081325.80   +250737.1  CGCG 119-013                    23049   77701  0.034               SA        (_rs)         Sab    2  0.00  SA(_rs)ab
081331.20   +504353.7  2MASX J08133114+5043532       2380785  106358  0.113  (R2P)        SAB       (s:)          Sb     3  0.50  (R2P)SAB(s:)b:
081345.89   +223642.6  2MASX J08134587+2236420       1673087  116161  0.060  (R1P)        SAB_a     (l)           Sab    2  0.50  (R1P)SAB_a(l)ab
081414.16   +212119.7  NGC 2545                        23086  109808  0.011               SAB       (r)           Sab    2  0.50  SAB(r)ab
081417.08   +460037.2  MCG +08-15-053                  23092    6959  0.050  (R1R2P)      SA_B      (r,bl)        S0/a   0  0.75  (R1R2P)SA_B(r,bl)0/a
081427.49   +122241.6  2MASX J08142747+1222413       1408458  185453  0.088  (RL)         SAB                     S0/a   0  0.50  (RL)SAB0/a:
081444.77   +581647.5  VII Zw 221                      23112  109644  0.027  (R)          SA        (irpl)        S0/a   0  0.00  (R)SA(irpl)0/a
081508.45   +295423.3  2MASX J08150843+2954234       1882613   53451  0.120               SA        (rs)          Sb     3  0.00  SA(rs)b
081510.76   +072301.3  2MASX J08151071+0723006       3522963   81114  0.135  (R2P)        SA_B      (l)           Sab    2  0.75  (R2P)SA_B(l)ab:
081513.65   +464313.5  2MASX J08151361+4643133       2286019    7179  0.055  (R1)         SB        (irpl,bl)     S0+   -1  1.00  (R1)SB(irpl,bl)0^+^
081527.50   +404930.9  2MASX J08152750+4049307       2171503   34893  0.074  (R1R2P)      SAB       (l)           Sb     3  0.50  (R1R2P)SAB(l)b:
081529.63   +453803.2  2MASX J08152958+4538033       2268126    6777  0.051  (RP)         SA        (rs,r,l)      Sbc    4  0.00  (RP)SA(rs,r,l)bc
081550.19   +475709.9  2MASX J08155017+4757101       2307570   11527  0.054  (R2P)        SA        (irpl)        Sbc    4  0.00  (R2P)SA(irpl)bc
081604.81   +230802.5  IC 2248                         23176  205327  0.014  (R1)         SA        (r)           S0+   -1  0.00  (R1)SA(r)0^+^
081609.76   +550052.8  2MASX J08160971+5500531       2487717  107321  ---                 SA_B      (r)           S0+   -1  0.75  SA_B(r)0^+^
081614.89   +574233.6  CGCG 287-065                    23189  108266  0.026  (R1P)        SAB       (_rs)         Sb     3  0.50  (R1P)SAB(_rs)b
081622.18   +454727.6  2MASX J08162221+4547276       2270503    6781  0.049  (R2P)        SA_B      (_rs)         S0/a   0  0.75  (R2P)SA_B(_rs)0/a
081624.57   +022550.8  2MASX J08162456+0225506       1226741  195773  ---    (R1)         SA_x      (r)           Sa     1  0.00  (R1)SA_x(r)a
081625.76   +203910.8  2MASX J08162578+2039108       1632853  118751  0.079  (RP)         SAB       (s)           Sbc    4  0.50  (RP)SAB(s)bc
081710.26   +155457.5  2MASX J08171027+1554569       1496318  150296  0.125               SA_B      (_rs)         Sa     1  0.75  SA_B(_rs)a:
081714.54   +151659.2  2MASX J08171456+1516589       1480416  151689  0.069  (RP)         SAB                     Sbc    4  0.50  (RP)SABbc: pec
081714.80   +370151.3  2MASX J08171483+3701511       2091618   48020  0.082  (RP)         S_AB                    Sab    2  0.25  (RP)S_ABab:
081717.67   +315036.6  2MASX J08171766+3150369       1967274   50490  0.082  (R)          SA                      S0/a   0  0.00  (R)SA0/a:
081742.90   +201536.2  2MASX J08174294+2015366       1621802  118552  0.081  (RP)         SA        (s)           Sbc    4  0.00  (RP)SA(s)bc
081753.14   +404335.1  2MASX J08175317+4043351       2170030   34525  0.061  (R2P)        SAB_a     (rl)          Sa     1  0.50  (R2P)SAB_a(rl)a
081823.24   +084718.9  2MASX J08182322+0847189       1353716  188431  0.137  (R2P)        SAB:      (s:)          Sc     5  0.50  (R2P)SAB:(s:)c
081843.54   +470257.0  2MASX J08184353+4702571       2291483    6964  ---    (R)          SA:                     S0+   -1  0.00  (R)SA:0^+^
081914.17   +041004.1  2MASX J08191419+0410045       1264470   57346  0.087  (RPL)        S_AB      (l)           Sa     1  0.25  (RPL)S_AB(l)a
081925.13   +550550.0  CGCG 263-022                    23343  107231  0.032  (R1P)        S_AB      (_rs,_rs)     Sa     1  0.25  (R1P)S_AB(_rs,_rs)a
081949.72   +330536.9  2MASX J08194969+3305367       3088733  204197  0.062  (RP:,RPL)    SA_B      (l)           Sc     5  0.75  (RP:,RPL)SA_B(l)c pec
082006.16   +075046.9  SDSS J082006.15+075046.9          ---   81123  0.078  (RPL)        SA        (r)           Sb     3  0.00  (RPL)SA(r)b:
082010.82   +210408.3  CGCG 119-061                    23379  118768  0.017  (RP)         SA        (s)           S0/a   0  0.00  (RP)SA(s)0/a
082023.66   +210753.3  NGC 2562                        23395  118769  0.017               SA0/a sp  (d)           S0/a   0  0.00  SA0/a sp / E(d)3-4
082037.61   +152940.2  2MASX J08203757+1529398       1486130  151696  ---    (R12P)       SB        (s)           Sab    2  1.00  (R12P)SB(s)ab:
082042.41   +540735.6  UGC 04335                       23412  105878  0.031  (R1P)        SB_a      (p,r,bl)      Sa     1  1.00  (R1P)SB_a(p,r,bl)a
082043.32   +180228.1  2MASX J08204329+1802274       1548534  149242  0.100  (RP)         SAB       (s)           Sb     3  0.50  (RP)SAB(s)b:
082051.55   +073025.6  2MASX J08205154+0730263       1323517  111463  0.150  (RP)         S_AB_a    (l)           Sbc    4  0.25  (RP)S_AB_a(l)bc: pec
082052.56   +410935.6  2MASX J08205256+4109360       2176639   34537  0.058  (RL)         SA_B_a    (l)           S0+   -1  0.75  (RL)SA_B_a(l)0^+^
082054.49   +285011.2  2MASX J08205450+2850110       1847473   73368  0.056  (R2P)        SAB       (l)           S0/a   0  0.50  (R2P)SAB(l)0/a:
082055.94   +410803.6  LCSB S1133P                       ---   34542  0.060  (RP:)        SA        (rs:)         Sa     1  0.00  (RP:)SA(rs:)a
082124.63   +190852.0  NGC 2572                        23441  126540  0.027  (RPL)        SB_a      (r,bl)        Sa     1  1.00  (RPL)SB_a(r,bl)a
082139.45   +592454.0  2MASX J08213945+5924535       2590197  108504  0.038               SA        (r)           S0/a   0  0.00  SA(r)0/a
082216.23   +210533.2  CGCG 119-072                    23477  120657  0.022  (RL)         SA_B      (r,bl)        S0/a   0  0.75  (RL)SA_B(r,bl)0/a
082218.93   +135324.9  2MASX J08221899+1353244       1443358  160597  ---    (RP)         SA        (s:)          Sc     5  0.00  (RP)SA(s:)c
082241.20   +041544.7  IC 0504                         23495   60170  0.014               SA        (r)           S0/a   0  0.00  SA(r)0/a
082242.45   +070518.8  2MASX J08224247+0705189       1313592   77055  0.080  (R1L)        SA        (r,bl)        S0/a   0  0.00  (R1L)SA(r,bl)0/a:
082245.70   +010213.0  GALEXASC J082245.71+010213        ---   21953  ---    (RP)         SA                      Sab    2  0.00  (RP)SAab:
082321.34   +152452.7  2MASX J08232132+1524522       1484019  235632  0.091  (RP)         SAB       (irpl)        S0/a   0  0.50  (RP)SAB(irpl)0/a
082336.77   +042302.5  2MASX J08233674+0423027       3729859   57375  0.091  (R1)         SA_B      (r)           S0/a   0  0.75  (R1)SA_B(r)0/a
082336.85   +210905.6  2MASX J08233680+2109054       1643903  118571  0.090  (RP)         SA        (s)           Sa     1  0.00  (RP)SA(s)a
